capy,K,J,J,nonna
Q,W,J,K,fade
plume,nonna,J,fade,SC
nonna,plume,Q,J,K
W,Q,Q,plume,nonna
J,fade,nonna,J,J
Q,A,plume,fade,W
plume,plume,Q,Q,A
capy,nonna,nonna,J,capy
Q,plume,capy,Q,nonna
K,A,K,A,fade
Q,Q,K,A,plume
J,nonna,SC,nonna,W
SC,Q,K,J,J
plume,A,W,J,nonna
A,W,capy,J,A
A,J,K,Q,fade
plume,J,K,K,plume
K,A,J,Q,K
SC,Q,K,Q,K
K,J,plume,nonna,fade
nonna,K,Q,plume,J
K,plume,W,plume,fade
J,A,plume,W,capy
Q,plume,Q,fade,W
K,K,K,J,A
fade,fade,nonna,Q,W
plume,K,J,fade,Q
A,nonna,Q,J,nonna
W,A,capy,fade,Q
K,Q,capy,K,capy
J,capy,fade,capy,Q
fade,Q,capy,A,SC
A,Q,J,nonna,plume
SC,K,A,A,J
K,Q,J,plume,J
capy,fade,J,Q,A
nonna,J,plume,J,W
Q,plume,Q,A,Q
A,Q,J,capy,K
W,J,plume,capy,A
capy,nonna,plume,A,fade
K,Q,J,A,J
J,K,SC,capy,Q
W,A,plume,nonna,SC
W,Q,A,W,W
fade,A,J,Q,Q
plume,A,A,fade,plume
fade,J,fade,J,A
W,J,plume,K,capy
capy,J,nonna,capy,J
K,fade,Q,plume,Q
J,Q,J,K,Q
plume,Q,Q,Q,plume
Q,J,A,K,K
J,fade,J,Q,Q
Q,J,SC,Q,nonna
W,K,K,A,A
K,Q,A,W,Q
K,Q,J,Q,A
A,fade,capy,J,J
fade,plume,plume,Q,fade
Q,K,nonna,Q,K
plume,Q,capy,J,Q
K,fade,K,A,K
J,capy,J,W,plume
nonna,nonna,plume,plume,capy
nonna,W,fade,nonna,W
J,Q,K,plume,fade
Q,plume,A,A,J
Q,Q,A,J,nonna
J,Q,J,K,plume
