L2,H1,H3,H2,L2,L2
B,H1,H4,H1,H2,L1
H1,H2,L2,L1,H2,L1
L3,H1,L3,L2,H3,H2
S,H3,H1,H1,L3,L1
L3,L2,L1,S,H4,L1
L3,L2,L3,L1,L2,H1
H2,H3,H1,H2,H1,H3
L2,H3,H4,H2,H3,B
L2,L2,H2,L2,H2,H4
S,L2,L1,L2,L3,L3
H2,H1,H3,H3,H2,B
B,H3,L2,H4,B,H4
H3,H2,L1,H3,L1,B
H4,H2,S,L1,H1,H1
H1,L2,L3,H4,H1,H4
S,L1,S,L3,H1,L2
L2,L1,H3,L2,H1,H4
H4,B,B,H3,L1,H2
B,B,H3,L2,L2,H2
L3,L1,L3,L1,H1,H3
H1,B,B,L3,H3,H1
B,B,H1,L1,H1,L3
L3,H1,H4,L1,H3,B
H4,H2,L1,L2,H2,H3
S,L2,H4,L1,H1,H2
H3,L1,H2,H2,H1,L2
H2,B,L3,H1,H2,L2
H2,H2,B,L1,H4,L3
L3,H2,H1,H4,H4,H4
L2,L2,S,H1,H4,H3
L3,H2,H2,H4,H4,H3
H2,B,H4,L3,L1,H1
S,L3,S,B,L3,H2
L1,H2,H4,H1,H4,S
H3,L3,H4,H4,S,S
L1,L2,H2,H3,S,L1
L1,L3,H1,L1,L1,L3
H2,S,H1,H2,L1,L2
H2,H1,B,H2,L1,L2
